text,source_tag,metadata
"Cuenta de Ahorros Plus
 
La Cuenta de Ahorros Plus está diseñada para clientes que buscan una combinación equilibrada entre
liquidez y rentabilidad.
Ofrece una tasa de interés del 4.2% E.A. con capitalización mensual, lo que permite incrementar el
saldo de forma progresiva.
El monto mínimo de apertura es de $50,000 COP, facilitando el acceso a una amplia base de clientes.
No tiene cuota de manejo si se mantiene un saldo promedio mensual superior a $1,000,000 COP.
Permite hasta 5 retiros gratuitos al mes en cajeros automáticos de la red nacional.
Las transferencias entre cuentas del mismo banco son ilimitadas y sin costo.
Incluye banca digital 24/7 con autenticación biométrica y notificaciones en tiempo real.
Cuenta con seguros antifraude que cubren hasta $10,000,000 COP en caso de transacciones no
autorizadas.
El cliente puede programar ahorros automáticos mensuales desde $100,000 COP.
Beneficios clave: liquidez inmediata, seguridad, facilidad de uso y acceso a promociones exclusivas.",products,"{""source"": ""portafolio_productos_v2"", ""page"": 0}"
"Cuenta Corriente Empresarial
 
Producto orientado a pequeñas, medianas y grandes empresas para la gestión eficiente del flujo de
caja.
Permite manejar múltiples usuarios con diferentes niveles de autorización.
Incluye sobregiro automático de hasta el 20% del saldo promedio mensual.
La tasa de sobregiro es del 18% E.A., competitiva frente al mercado.
Permite emisión ilimitada de cheques y pagos a proveedores.
Incluye herramientas de conciliación bancaria automática.
Cuota de manejo mensual de $35,000 COP.
Acceso a plataforma empresarial con reportes financieros detallados.
Integración con sistemas contables mediante archivos planos.
Beneficios: control financiero, liquidez inmediata y optimización operativa.",products,"{""source"": ""portafolio_productos_v2"", ""page"": 1}"
"Tarjeta de Crédito Clásica
 
Tarjeta de crédito orientada a clientes que inician su historial financiero.
Cupo asignado desde $2,000,000 COP dependiendo del perfil.
Tasa de interés del 25% E.A. con hasta 45 días de periodo de gracia.
Cuota de manejo mensual de $12,000 COP.
Acumulación de 1 punto por cada $1,000 COP en compras.
Posibilidad de diferir compras hasta 36 meses.
Incluye seguro contra fraude y compras no reconocidas.
Aceptación internacional en millones de comercios.
Descuentos en aliados comerciales seleccionados.
Beneficios: acceso al crédito, flexibilidad de pago y construcción de historial crediticio.",products,"{""source"": ""portafolio_productos_v2"", ""page"": 2}"
"Tarjeta de Crédito Gold
 
Tarjeta diseñada para clientes con mayor capacidad adquisitiva.
Cupo desde $5,000,000 COP con evaluación crediticia.
Tasa de interés preferencial del 23% E.A.
Acumula 1.5 puntos por cada $1,000 COP en compras.
Incluye acceso a salas VIP en aeropuertos internacionales.
Seguro de viaje con cobertura hasta USD 100,000.
Cuota de manejo mensual de $25,000 COP.
Protección de compras contra daño o robo por 90 días.
Servicio de asistencia global 24/7.
Beneficios: exclusividad, seguridad y recompensas superiores.",products,"{""source"": ""portafolio_productos_v2"", ""page"": 3}"
"Crédito de Libre Inversión
 
Préstamo personal destinado a cubrir necesidades diversas.
Montos desde $1,000,000 hasta $50,000,000 COP.
Plazos entre 12 y 60 meses.
Tasa promedio del 19% E.A. según perfil.
Desembolso en menos de 24 horas tras aprobación.
Pagos fijos mensuales para facilitar planificación.
Permite pagos anticipados sin penalización.
Proceso de solicitud 100% digital.
No requiere codeudor en la mayoría de los casos.
Beneficios: rapidez, flexibilidad y facilidad de acceso.",products,"{""source"": ""portafolio_productos_v2"", ""page"": 4}"
"Crédito Hipotecario
 
Producto diseñado para la compra de vivienda nueva o usada.
Financiación hasta el 80% del valor del inmueble.
Plazos de hasta 20 años.
Tasa desde 11% E.A. fija o variable.
Posibilidad de elegir entre cuota fija o decreciente.
Incluye asesoría especializada durante todo el proceso.
Gastos de estudio desde $300,000 COP.
Seguro de vida e incendio incluidos en la cuota.
Opción de abonos extraordinarios sin penalidad.
Beneficios: estabilidad, financiamiento a largo plazo y acceso a vivienda.",products,"{""source"": ""portafolio_productos_v2"", ""page"": 5}"
"Crédito de Vehículo
 
Financiación para vehículos nuevos o usados.
Monto hasta el 90% del valor comercial del vehículo.
Plazo máximo de 72 meses.
Tasa promedio del 14% E.A.
Respuesta de aprobación en menos de 48 horas.
Incluye seguro todo riesgo opcional.
Permite pagos anticipados sin sanción.
Alianzas con concesionarios para mejores precios.
Cuotas fijas durante todo el crédito.
Beneficios: acceso rápido a vehículo y condiciones flexibles.",products,"{""source"": ""portafolio_productos_v2"", ""page"": 6}"
"CDT (Certificado de Depósito a Término)
Producto de inversión con rentabilidad garantizada.
Tasas entre 7% y 10% E.A. dependiendo del plazo.
Inversión mínima de $500,000 COP.
Plazos desde 90 hasta 720 días.
No permite retiros anticipados.
Intereses pagados al vencimiento o periódicamente.
Producto de bajo riesgo.
Respaldado por el banco y regulado por autoridades financieras.
Permite renovación automática.
Beneficios: seguridad, previsibilidad y rentabilidad fija.",products,"{""source"": ""portafolio_productos_v2"", ""page"": 7}"
"Cuenta de Ahorro Programado
 
Cuenta diseñada para fomentar el ahorro disciplinado.
Aportes mensuales mínimos de $100,000 COP.
Tasa de interés del 5% E.A.
Plazo mínimo de permanencia de 12 meses.
Penalización por retiro anticipado.
Permite definir metas específicas de ahorro.
Automatización de transferencias desde cuentas principales.
Incluye seguimiento del progreso de ahorro.
Sin cuota de manejo.
Beneficios: disciplina financiera y cumplimiento de metas.",products,"{""source"": ""portafolio_productos_v2"", ""page"": 8}"
"Seguro de Vida Integral
 
Producto de protección financiera para el cliente y su familia.
Cobertura hasta $200,000,000 COP.
Prima mensual desde $30,000 COP.
Incluye cobertura por fallecimiento e incapacidad total.
Adicional por enfermedades graves.
Edad de ingreso entre 18 y 65 años.
Proceso de contratación sencillo.
Asistencia funeraria incluida.
Pago rápido a beneficiarios.
Beneficios: tranquilidad, respaldo económico y protección integral.",products,"{""source"": ""portafolio_productos_v2"", ""page"": 9}"
